mkey,ntsb_no,event_date,city,state,country,narrative_text,aircraft_type,phase_of_flight,cause_codes
202248,CEN26LA075,2025-12-31 18:05:00+00:00,Guthrie,Oklahoma,United States,The pilot's failure to maintain directional control during landing with a quartering left crosswind.,STEEN SKYBOLT AIR,Landing,0106202020|0206304044|0303404082
202249,CEN26LA076,2025-12-31 17:10:00+00:00,Burnet,Texas,United States,"The pilot’s failure to secure the airplane before hand-propping the engine, which resulted in the airplane’s unexpected movement and subsequent impact with an airport fence.",NANCHANG CHINA CJ-6A AIR,Standing-engine(s) start-up,0106202020|0101102027|0206100044|0206301544|0206303544|0204103044|0206304044
202222,WPR26LA073,2025-12-27 12:09:00+00:00,Needles,California,United States,,EVEKTOR - AEROTECHNIK A S SPORTSTAR MAX AIR,Enroute-cruise,
202227,GAA26WA059,2025-12-27 05:00:00+00:00,Rio de Janeiro,Other Foreign,Brazil,,CESSNA 170 AIR,Maneuvering-low-alt flying,
202265,CEN26LA082,2025-12-26 17:30:00+00:00,Wimberley,Texas,United States,,WAG AERO CUBY AIR,Enroute,
202205,DCA26WA078,2025-12-22 14:27:00+00:00,Chiba,,Japan,,BOEING 787 AIR,Enroute-cruise,
202260,CEN26LA080,2025-12-21 14:42:00+00:00,Prospect Heights,Illinois,United States,,CESSNA 150 AIR,Approach-VFR pattern final,
202199,ERA26LA075,2025-12-20 18:15:00+00:00,Hawthorne,Florida,United States,"The pilot’s failure to maintain an appropriate descent rate for a glassy water landing, which resulted in a hard landing.",AVIAT AIRCRAFT INC A-1C-200 AIR,Landing,0302302585|0106203720|0204103044
202240,CEN26LA072,2025-12-18 13:55:00+00:00,Muleshoe,Texas,United States,,CIRRUS DESIGN CORP SR22T AIR,Takeoff,
202178,CEN26FA064,2025-12-17 14:49:00+00:00,West Chicago,Illinois,United States,,PIPER PA-30 AIR,Unknown,
202183,WPR26LA064,2025-12-17 13:30:00+00:00,Silver Springs,Nevada,United States,,MOONEY M20J AIR,Landing-aborted after touchdown,
202173,WPR26LA060,2025-12-15 16:26:00+00:00,Tracy,California,United States,,BEECHCRAFT CORP G36 AIR,Enroute-cruise,
